fullname,organizacao,params_b,average,ifeval,bbh,math,gpqa,musr,mmlu_pro,anomaly_score
MaziyarPanahi/calme-3.2-instruct-78b,MaziyarPanahi,77.965,52.08138397879168,80.62607215521483,62.609443282901594,40.33232628398791,20.3579418344519,38.52890624999999,70.03361406619385,0.6830723980161322
dfurman/CalmeRys-78B-Orpo-v0.1,dfurman,77.965,51.23132307602696,81.6327344778521,61.92476379259157,40.6344410876133,20.022371364653242,36.37213541666666,66.80149231678487,0.6788935161642481
MaziyarPanahi/calme-3.1-instruct-78b,MaziyarPanahi,77.965,51.28748997363473,81.35547015252862,62.40968270370106,39.274924471299094,19.463087248322143,36.49947916666666,68.72229609929079,0.6774556523895846
MaziyarPanahi/calme-2.4-rys-78b,MaziyarPanahi,77.965,50.76504719022304,80.10899967641413,62.15654929467119,40.70996978851964,20.3579418344519,34.56614583333333,66.690676713948,0.6771560454153978
huihui-ai/Qwen2.5-72B-Instruct-abliterated,huihui-ai,72.706,48.10647092442315,85.92667455684251,60.487869412693875,60.12084592145015,19.35123042505593,12.342187500000003,50.410017730496456,0.6445350776698223
JungZoona/T3Q-qwen2.5-14b-v1.0-e3,JungZoona,14.77,47.091544713804204,73.2396707403024,65.46659667305961,28.625377643504528,22.259507829977633,38.688020833333326,54.270094562647756,0.6440263933977591
Qwen/Qwen2.5-72B-Instruct,Qwen,72.706,47.98045991216864,86.3837949972739,61.873255668787884,59.818731117824775,16.666666666666664,11.742187500000005,51.39812352245864,0.6428485483743583
qingy2024/Benchmaxx-Llama-3.2-1B-Instruct,qingy2024,1.236,25.69666706814397,20.136016879657085,76.69996850001888,48.036253776435046,4.4742729306487705,3.579427083333334,1.2540632387706852,0.6404956080715679
newsbang/Homer-v1.0-Qwen2.5-72B,newsbang,72.706,47.464376408361055,76.27716680629618,62.27406507872839,49.01812688821752,22.14765100671141,17.89947916666667,57.16976950354611,0.6395786435311502
MaziyarPanahi/calme-2.2-qwen2.5-72b,MaziyarPanahi,72.7,47.22457675508573,84.76763875406145,61.80360419146786,58.91238670694864,14.541387024608499,12.016666666666671,51.305777186761226,0.6345654368518023
MaziyarPanahi/calme-2.1-qwen2.5-72b,MaziyarPanahi,72.7,47.85672202584548,86.62360315075111,61.65570318314716,59.13897280966768,15.100671140939594,13.297135416666663,51.3242464539007,0.6340605382032323
Sakalti/ultiima-72B,Sakalti,72.706,46.76723892225559,71.4012154416947,61.10313258693403,53.54984894259819,21.923937360178968,18.115104166666665,54.510195035460995,0.6331352925095917
shuttleai/shuttle-3,shuttleai,72.706,46.70460730741495,81.5403130360776,64.05301565117443,45.996978851963746,21.588366890380314,14.64427083333333,52.40469858156028,0.6270921206727186
