model,bt_strength,bt_rating_elo,bt_lo95,bt_hi95
gpt-4,4.244209375192207,1251.118720143342,1236.8158192092187,1265.1224526892101
claude-v1,2.902471813605592,1185.1072043695856,1170.899592772496,1202.0430877732776
claude-instant-v1,2.540146760253758,1161.9435237073587,1146.5684155018853,1179.7021005818438
gpt-3.5-turbo,1.7889373022738062,1101.0380479645307,1086.9106940090705,1114.6100691067363
guanaco-33b,1.2098232754934406,1033.0887742147147,1007.2179273532589,1059.411702206546
vicuna-13b,1.0344018691985835,1005.8757186630484,993.4303791359083,1018.2997425445985
wizardlm-13b,0.9782336886401686,996.1770460310287,970.7961314988069,1020.7043890011395
palm-2,0.9479189627616424,990.7084845007258,974.0039206536553,1006.4184429562138
vicuna-7b,0.7584175850080209,951.9633576768398,935.3387581180615,969.1987553970359
koala-13b,0.6469332168290318,924.3437802368103,912.1057002716311,936.7546980921859
gpt4all-13b-snoozy,0.440395865944887,857.5372934152987,827.0552693495711,885.7535966335774
mpt-7b-chat,0.42664283284743193,852.0257817350728,833.3568781270117,869.1211523549455
RWKV-4-Raven-14B,0.40640607997078004,843.5840786060228,826.7545465447404,859.780829824662
alpaca-13b,0.3436449564778404,814.4439897389839,797.8915541710859,829.52714625495
oasst-pythia-12b,0.34048783622902457,812.840640622314,797.3961976915218,827.8383908323249
fastchat-t5-3b,0.2664171034280078,770.2248408809444,750.9042310036241,788.3123390297284
chatglm-6b,0.24835099150650602,758.0263592778075,739.3041015955876,775.8271972552864
stablelm-tuned-alpha-7b,0.18535252802478017,707.1994055009131,685.428313197,727.4458758068994
dolly-v2-12b,0.16084336811882802,682.5612635244161,660.0489181458199,703.8469722333848
llama-13b,0.1299645881956645,645.5300140112688,621.3520437884165,668.1088919192799
