model,elo_mean,elo_std,elo_lo95,elo_hi95
gpt-4,1328.4780557030415,36.05884154757422,1292.6695171557574,1396.0567409558707
claude-instant-v1,1266.5321690830626,30.552585019842585,1213.9727179625681,1305.5991145449323
claude-v1,1254.1910649593362,31.586388186409785,1222.6704081482703,1315.528217672997
gpt-3.5-turbo,1205.9128210026213,34.54351061377336,1157.529992584111,1252.3704171993672
guanaco-33b,1128.5820162736195,21.04449885208107,1091.3240807021577,1150.1467478978934
vicuna-13b,1105.416050190781,26.466568617236877,1051.951233903426,1130.3782822448047
wizardlm-13b,1076.4457364844673,36.7174418676379,1015.943011174125,1135.238816788623
palm-2,1060.0840052207263,24.910844049970763,1027.766026882858,1096.175345222792
vicuna-7b,1028.527757908239,38.3514062356765,983.2020031435839,1080.0648641747284
koala-13b,1011.0656812997231,33.01414514056142,968.0081217425478,1062.9634299500685
gpt4all-13b-snoozy,946.8951899806885,34.45193033944064,902.9877322993723,1007.2291806074176
mpt-7b-chat,940.8842872232588,18.78754658174282,913.7576924064175,971.9508286059241
RWKV-4-Raven-14B,920.2279818703558,33.19567774299409,881.6547973409804,977.4113241799998
alpaca-13b,898.5013433350654,23.45649949049427,864.4507386929753,937.4990046224395
oasst-pythia-12b,872.4121876794067,29.12558576818934,836.8405319669858,920.5396182746539
fastchat-t5-3b,854.4435849295021,34.74624313495784,807.9919020690261,899.3380624260674
chatglm-6b,845.052670417994,20.41627377727641,820.0401075908434,870.9362077806112
stablelm-tuned-alpha-7b,776.6059781244381,35.03316689761254,723.8604774397028,833.2157135025042
dolly-v2-12b,755.2113161255354,24.8182055605266,714.9979128648233,784.2770415925906
llama-13b,724.5301021881373,27.162083585419218,683.232217766014,768.5871967349882
