,RWKV-4-Raven-14B,alpaca-13b,chatglm-6b,claude-instant-v1,claude-v1,dolly-v2-12b,fastchat-t5-3b,gpt-3.5-turbo,gpt-4,gpt4all-13b-snoozy,guanaco-33b,koala-13b,llama-13b,mpt-7b-chat,oasst-pythia-12b,palm-2,stablelm-tuned-alpha-7b,vicuna-13b,vicuna-7b,wizardlm-13b
RWKV-4-Raven-14B,,0.5,0.5961538461538461,0.11965811965811966,0.1446280991735537,0.7424242424242424,0.6090909090909091,0.18503937007874016,0.10196078431372549,0.4722222222222222,0.3,0.4245810055865922,0.6923076923076923,0.4782608695652174,0.547945205479452,0.28169014084507044,0.7241379310344828,0.2608695652173913,0.33043478260869563,0.32075471698113206
alpaca-13b,0.5,,0.5854922279792746,0.19230769230769232,0.11155378486055777,0.7604790419161677,0.5570469798657718,0.11721611721611722,0.060085836909871244,0.3793103448275862,0.3076923076923077,0.34185303514376997,0.7518796992481203,0.4742268041237113,0.481981981981982,0.2767857142857143,0.6623376623376623,0.21098265895953758,0.2872340425531915,0.21052631578947367
chatglm-6b,0.40384615384615385,0.41450777202072536,,0.07446808510638298,0.1118421052631579,0.6068376068376068,0.4631578947368421,0.10227272727272728,0.0891089108910891,0.5384615384615384,0.32,0.27717391304347827,0.5609756097560976,0.2857142857142857,0.4222222222222222,0.2111111111111111,0.5681818181818182,0.1511627906976744,0.3582089552238806,0.3333333333333333
claude-instant-v1,0.8803418803418803,0.8076923076923077,0.925531914893617,,0.46808510638297873,0.9090909090909091,0.8627450980392157,0.5691056910569106,0.3217391304347826,0.7307692307692307,0.8125,0.8297872340425532,0.625,0.8360655737704918,0.8503937007874016,0.7762237762237763,0.9482758620689655,0.7037037037037037,0.8120567375886525,0.7567567567567568
claude-v1,0.8553719008264463,0.8884462151394422,0.8881578947368421,0.5319148936170213,,0.918918918918919,0.9349112426035503,0.6016949152542372,0.44651162790697674,0.8983050847457628,0.7428571428571429,0.804,0.9868421052631579,0.8809523809523809,0.8893280632411067,0.7482993197278912,0.9150943396226415,0.7875,0.7516339869281046,0.8085106382978723
dolly-v2-12b,0.25757575757575757,0.23952095808383234,0.39316239316239315,0.09090909090909091,0.08108108108108109,,0.3764705882352941,0.07734806629834254,0.06802721088435375,0.2,0.14285714285714285,0.2028301886792453,0.63,0.23529411764705882,0.3353658536585366,0.12962962962962962,0.44660194174757284,0.14925373134328357,0.10204081632653061,0.09090909090909091
fastchat-t5-3b,0.39090909090909093,0.4429530201342282,0.5368421052631579,0.13725490196078433,0.0650887573964497,0.6235294117647059,,0.12946428571428573,0.09405940594059406,0.2903225806451613,0.13793103448275862,0.22093023255813954,0.647887323943662,0.4567901234567901,0.3953488372093023,0.25742574257425743,0.6901408450704225,0.18023255813953487,0.2708333333333333,0.2
gpt-3.5-turbo,0.8149606299212598,0.8827838827838828,0.8977272727272727,0.43089430894308944,0.3983050847457627,0.9226519337016574,0.8705357142857143,,0.20982142857142858,0.7361111111111112,0.4915254237288136,0.7547770700636943,0.9272727272727272,0.7790697674418605,0.8546712802768166,0.6130952380952381,0.900709219858156,0.6286764705882353,0.7631578947368421,0.6825396825396826
gpt-4,0.8980392156862745,0.9399141630901288,0.9108910891089109,0.6782608695652174,0.5534883720930233,0.9319727891156463,0.905940594059406,0.7901785714285714,,0.875,0.6851851851851852,0.8815331010452961,0.9444444444444444,0.9139784946236559,0.9183673469387755,0.8113207547169812,0.9325842696629213,0.8695652173913043,0.8064516129032258,0.8636363636363636
gpt4all-13b-snoozy,0.5277777777777778,0.6206896551724138,0.46153846153846156,0.2692307692307692,0.1016949152542373,0.8,0.7096774193548387,0.2638888888888889,0.125,,0.14893617021276595,0.25,0.6666666666666666,0.41025641025641024,0.5833333333333334,0.41935483870967744,1.0,0.288135593220339,0.17857142857142858,0.3384615384615385
guanaco-33b,0.7,0.6923076923076923,0.68,0.1875,0.2571428571428571,0.8571428571428571,0.8620689655172413,0.5084745762711864,0.3148148148148148,0.851063829787234,,0.5483870967741935,0.8,0.7142857142857143,0.7777777777777778,0.6229508196721312,0.8571428571428571,0.5555555555555556,0.5957446808510638,0.6046511627906976
koala-13b,0.5754189944134078,0.65814696485623,0.7228260869565217,0.1702127659574468,0.196,0.7971698113207547,0.7790697674418605,0.24522292993630573,0.11846689895470383,0.75,0.45161290322580644,,0.8535031847133758,0.6621621621621622,0.6697530864197531,0.37267080745341613,0.8020304568527918,0.35648994515539306,0.3884297520661157,0.5
llama-13b,0.3076923076923077,0.24812030075187969,0.43902439024390244,0.375,0.013157894736842105,0.37,0.352112676056338,0.07272727272727272,0.05555555555555555,0.3333333333333333,0.2,0.1464968152866242,,0.2727272727272727,0.2440944881889764,0.14285714285714285,0.3951612903225806,0.12053571428571429,0.16666666666666666,0.3333333333333333
mpt-7b-chat,0.5217391304347826,0.5257731958762887,0.7142857142857143,0.16393442622950818,0.11904761904761904,0.7647058823529411,0.5432098765432098,0.22093023255813954,0.08602150537634409,0.5897435897435898,0.2857142857142857,0.33783783783783783,0.7272727272727273,,0.5080645161290323,0.35374149659863946,0.7121212121212122,0.2945205479452055,0.3516483516483517,0.28
