model_a,model_b,n,wins_a,wins_b,winrate_a,pvalue,pvalue_fdr,sig_fdr
RWKV-4-Raven-14B,alpaca-13b,162,81,81,0.5,1.0,1.0,False
RWKV-4-Raven-14B,chatglm-6b,104,62,42,0.5961538461538461,0.061926379878627334,0.07729817630240007,False
RWKV-4-Raven-14B,claude-instant-v1,117,14,103,0.11965811965811966,6.384202700912362e-18,2.4969326119123905e-17,True
RWKV-4-Raven-14B,claude-v1,242,35,207,0.1446280991735537,6.730126843112935e-31,5.922511621939383e-30,True
RWKV-4-Raven-14B,dolly-v2-12b,66,49,17,0.7424242424242424,0.0001014771231679886,0.0001860413924746458,True
RWKV-4-Raven-14B,fastchat-t5-3b,110,67,43,0.6090909090909091,0.0278508881256621,0.036042325809680364,True
RWKV-4-Raven-14B,gpt-3.5-turbo,254,47,207,0.18503937007874016,3.903939068107284e-25,2.453904557096007e-24,True
RWKV-4-Raven-14B,gpt-4,255,26,229,0.10196078431372549,9.586571654086429e-42,4.218091527798029e-40,True
RWKV-4-Raven-14B,gpt4all-13b-snoozy,36,17,19,0.4722222222222222,0.8679394004284404,0.8933177454702077,False
RWKV-4-Raven-14B,guanaco-33b,50,15,35,0.3,0.006600447966810918,0.009444543432184729,True
RWKV-4-Raven-14B,koala-13b,179,76,103,0.4245810055865922,0.051671861946843665,0.06495891216174633,False
RWKV-4-Raven-14B,llama-13b,52,36,16,0.6923076923076923,0.0077874363057435225,0.011053135401700482,True
RWKV-4-Raven-14B,mpt-7b-chat,115,55,60,0.4782608695652174,0.7093227303228259,0.7475497038132776,False
RWKV-4-Raven-14B,oasst-pythia-12b,146,80,66,0.547945205479452,0.2819365341298733,0.3201343871410174,False
RWKV-4-Raven-14B,palm-2,142,40,102,0.28169014084507044,1.989600147199424e-07,4.607495077724982e-07,True
RWKV-4-Raven-14B,stablelm-tuned-alpha-7b,87,63,24,0.7241379310344828,3.4799669459257334e-05,6.805268694254768e-05,True
RWKV-4-Raven-14B,vicuna-13b,230,60,170,0.2608695652173913,2.2798809195043877e-13,7.295618942414041e-13,True
RWKV-4-Raven-14B,vicuna-7b,115,38,77,0.33043478260869563,0.00035099817913727526,0.0006116403913679253,True
RWKV-4-Raven-14B,wizardlm-13b,53,17,36,0.32075471698113206,0.012660335802414213,0.017407961728319543,True
alpaca-13b,chatglm-6b,193,113,80,0.5854922279792746,0.021014080254850197,0.028232657441630803,True
alpaca-13b,claude-instant-v1,104,20,84,0.19230769230769232,1.6380501511665785e-10,4.80494711008863e-10,True
alpaca-13b,claude-v1,251,28,223,0.11155378486055777,6.722692207103498e-39,1.6902768977860224e-37,True
alpaca-13b,dolly-v2-12b,167,127,40,0.7604790419161677,9.451719537104616e-12,2.970540425947165e-11,True
alpaca-13b,fastchat-t5-3b,149,83,66,0.5570469798657718,0.18975855790673749,0.22414433685628052,False
alpaca-13b,gpt-3.5-turbo,273,32,241,0.11721611721611722,7.885735118316789e-41,2.77577876164751e-39,True
alpaca-13b,gpt-4,233,14,219,0.060085836909871244,1.655883695668878e-48,1.4571776521886128e-46,True
alpaca-13b,gpt4all-13b-snoozy,29,11,18,0.3793103448275862,0.26493089646101,0.3027781673840114,False
alpaca-13b,guanaco-33b,26,8,18,0.3076923076923077,0.07551869750022888,0.09294608923105094,False
alpaca-13b,koala-13b,313,107,206,0.34185303514376997,2.3410854287956755e-08,5.567986965784309e-08,True
alpaca-13b,llama-13b,133,100,33,0.7518796992481203,4.962954006694654e-09,1.303701351012327e-08,True
alpaca-13b,mpt-7b-chat,97,46,51,0.4742268041237113,0.6848587772144035,0.7261153300586446,False
alpaca-13b,oasst-pythia-12b,222,107,115,0.481981981981982,0.638590339271933,0.6811630285567285,False
alpaca-13b,palm-2,112,31,81,0.2767857142857143,2.5277503538116926e-06,5.360048943022384e-06,True
alpaca-13b,stablelm-tuned-alpha-7b,154,102,52,0.6623376623376623,6.865233358189424e-05,0.00012992269581089662,True
alpaca-13b,vicuna-13b,346,73,273,0.21098265895953758,2.6532374476096093e-28,2.0303034381708314e-27,True
alpaca-13b,vicuna-7b,94,27,67,0.2872340425531915,4.496432091968554e-05,8.696396133917202e-05,True
alpaca-13b,wizardlm-13b,38,8,30,0.21052631578947367,0.0004719867429230362,0.0008065016189752852,True
chatglm-6b,claude-instant-v1,94,7,87,0.07446808510638298,1.1216378996042042e-18,4.700196912627141e-18,True
chatglm-6b,claude-v1,152,17,135,0.1118421052631579,5.4791181269678426e-24,3.325257897746001e-23,True
chatglm-6b,dolly-v2-12b,117,71,46,0.6068376068376068,0.02607556223566365,0.03424849965281196,True
chatglm-6b,fastchat-t5-3b,95,44,51,0.4631578947368421,0.5383940262921677,0.5885549604187672,False
chatglm-6b,gpt-3.5-turbo,176,18,158,0.10227272727272728,3.9235080507206066e-29,3.1388064405764853e-28,True
chatglm-6b,gpt-4,202,18,184,0.0891089108910891,7.730893688986846e-36,1.3003381190623864e-34,True
chatglm-6b,gpt4all-13b-snoozy,26,14,12,0.5384615384615384,0.8450189828872681,0.8748431822832893,False
chatglm-6b,guanaco-33b,25,8,17,0.32,0.10775214433670044,0.13169706530041164,False
chatglm-6b,koala-13b,184,51,133,0.27717391304347827,1.2599464236635297e-09,3.4648526650747067e-09,True
chatglm-6b,llama-13b,82,46,36,0.5609756097560976,0.3202933636380142,0.36135661538647756,False
chatglm-6b,mpt-7b-chat,70,20,50,0.2857142857142857,0.00044028500651396835,0.0007597074622201806,True
chatglm-6b,oasst-pythia-12b,180,76,104,0.4222222222222222,0.04387101145390356,0.0555489065891153,False
