,arena_user_9965,arena_user_257,arena_user_15085,arena_user_13046,arena_user_11473,arena_user_3820,arena_user_6467,arena_user_9676,arena_user_6585,arena_user_1338
RWKV-4-Raven-14B,19.0,9.0,10.0,9.0,10.0,14.0,9.0,10.0,12.5,9.0
alpaca-13b,17.0,11.0,14.0,10.5,12.0,11.0,5.0,12.0,7.0,11.0
chatglm-6b,14.0,18.0,12.0,14.0,13.0,18.0,17.5,16.5,11.0,18.5
claude-instant-v1,6.0,6.0,3.0,3.0,1.0,4.0,1.0,16.5,8.0,1.0
claude-v1,4.0,1.0,2.0,7.0,4.0,2.0,3.0,5.0,3.0,2.0
dolly-v2-12b,13.0,17.0,15.0,13.0,14.0,17.0,13.0,7.0,15.0,18.5
fastchat-t5-3b,18.0,16.0,11.0,8.0,11.0,6.0,12.0,16.5,14.0,7.5
gpt-3.5-turbo,5.0,4.0,4.0,6.0,3.0,10.0,2.0,4.0,2.0,4.5
gpt-4,2.0,5.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,3.0
gpt4all-13b-snoozy,9.5,19.5,18.0,19.0,18.0,19.5,17.5,16.5,18.5,13.5
guanaco-33b,1.0,3.0,18.0,4.0,18.0,13.0,17.5,16.5,18.5,18.5
koala-13b,11.0,13.0,8.0,2.0,9.0,12.0,10.0,8.0,6.0,10.0
llama-13b,20.0,14.5,18.0,20.0,18.0,19.5,7.0,16.5,18.5,7.5
mpt-7b-chat,12.0,10.0,9.0,12.0,6.0,8.0,6.0,9.0,16.0,15.0
oasst-pythia-12b,16.0,12.0,13.0,16.5,8.0,9.0,11.0,11.0,12.5,16.0
palm-2,3.0,2.0,6.0,10.5,5.0,7.0,17.5,6.0,10.0,4.5
stablelm-tuned-alpha-7b,15.0,19.5,18.0,15.0,15.0,16.0,14.0,16.5,5.0,13.5
vicuna-13b,8.0,7.0,5.0,5.0,7.0,1.0,8.0,3.0,4.0,6.0
vicuna-7b,9.5,14.5,7.0,18.0,18.0,15.0,17.5,1.0,9.0,18.5
wizardlm-13b,7.0,8.0,18.0,16.5,18.0,5.0,17.5,16.5,18.5,12.0
