model,win_rate,n_battles,wilson_lo,wilson_hi
gpt-4,0.8564650059311981,3372,0.8442249806629596,0.8678937693804165
claude-v1,0.7956058588548602,3004,0.7808120599587935,0.8096445928650322
claude-instant-v1,0.7609582059123343,1962,0.7415879068475648,0.7793086259859101
gpt-3.5-turbo,0.7205252640593777,3503,0.7054296990964044,0.7351376941382939
vicuna-13b,0.6325901328273245,4216,0.6179231635491542,0.6470156998915695
guanaco-33b,0.5852348993288591,745,0.5495075708296766,0.6200877400389346
wizardlm-13b,0.556135770234987,766,0.520758109451676,0.5909532033317921
palm-2,0.5408653846153846,2080,0.5193940282073459,0.562186074386547
koala-13b,0.4981656184486373,3816,0.4823115044911732,0.5140234219315788
vicuna-7b,0.4572760227861212,1931,0.43516318271354915,0.4795585123133036
alpaca-13b,0.3611111111111111,3096,0.3443736046303882,0.3781928519369811
mpt-7b-chat,0.35020876826722336,1916,0.3291677885586163,0.3718491900242962
RWKV-4-Raven-14B,0.3491053677932406,2515,0.3307182913317007,0.3679526999122822
oasst-pythia-12b,0.3438995215311005,3344,0.3279872495379303,0.3601700264736531
gpt4all-13b-snoozy,0.336,750,0.3031073668042966,0.3705640701781676
chatglm-6b,0.29260595130748424,2218,0.2740436237128751,0.3118854279088746
fastchat-t5-3b,0.2869891968060122,2129,0.26817129809619705,0.3065744026454302
stablelm-tuned-alpha-7b,0.25647805393971446,1891,0.23730328498606096,0.27664021898750685
dolly-v2-12b,0.229296066252588,1932,0.2110991017485132,0.24856739354536356
llama-13b,0.21683309557774608,1402,0.1960517578887368,0.23916193920477774
